class-row,class-topic,Week,Day,Date,Topic,Assign-OUT,Assign-DUE,
noClass,italic,1,T,27-Jan,CLASS CANCELED - Snow Day,,,
,,,R,29-Jan,What is Visual Analytics?,hw01,,
,,2,T,3-Feb,Data Visualization 101,,,
,,,R,5-Feb,Exploratory Data Analysis (EDA),hw02,hw01,
,,3,T,10-Feb,Intro to HTML / CSS / JS ,,,
,,,R,12-Feb,Interaction Science,hw03,hw02,
,,4,T,17-Feb,Interactive Visualizations (d3.js),,,
,,,R,19-Feb,Network Data Analysis,hwCatchUp,hw03,
,italic,5,T,24-Feb,Network Lab,,,
noClass,italic,,R,26-Feb,CLASS CANCELED - Rally Day,mp,hwCatchUp,
,,6,T,3-Mar,Geospatial Data Analysis (with SAL),,,
,,,R,5-Mar,Geospatial Lab (with SAL),,,
,,7,T,10-Mar,Communicating Uncertainty and Bias,,,
,,,R,12-Mar,Uncertainty and Bias Lab,hw04,mp,
noClass,italic,8,T,17-Mar,CLASS CANCELED - Spring Break,,,
noClass,italic,,R,19-Mar,CLASS CANCELED - Spring Break,,,
,,9,T,24-Mar,Working with Databases / APIs ,,,
,,,R,26-Mar,Big Data Lab,,,
,,10,T,31-Mar,Explainable AI / ML ,,,
,proj,,R,2-Apr,Final Project Introduction ,fp01,hw04,
,,11,T,7-Apr,Explainable AI / ML Lab ,,,
,proj,,R,9-Apr,Final Project Workshop - Proposal Check-in,fp02,fp01,
,,12,T,14-Apr,Exploratory Model Analysis (EMA) ,,,
,proj,,R,16-Apr,Final Project Workshop - Prototype Testing,fp03,fp02,
,,13,T,21-Apr,EMA Lab,,,
,proj,,R,23-Apr,Final Project Workshop - User Testing ,fp04,fp03,
,italic,14,T,28-Apr,flex day ,,,
presy,proj,,R,30-Apr,Final Project Demonstrations,,fp04,
,,,,,,,,
,,,,,,,,
